idx, row, col, L_finger, L_coupler, f0_design, f0_meas, f0_design_nibble, L_finger_nibble, f0_meas_nibble
0.000000e+00,0.000000e+00,0.000000e+00,6.505300e+01,nan,4.508490e+00,4.120857e+00,nan,nan,nan
1.000000e+00,1.000000e+00,2.000000e+00,6.678700e+01,nan,4.513579e+00,4.134668e+00,nan,nan,nan
2.000000e+00,2.000000e+00,0.000000e+00,6.857300e+01,nan,4.518752e+00,4.130199e+00,nan,nan,nan
3.000000e+00,0.000000e+00,1.000000e+00,7.036000e+01,nan,4.523924e+00,4.144322e+00,nan,nan,nan
4.000000e+00,1.000000e+00,3.000000e+00,7.213900e+01,nan,4.529025e+00,4.133574e+00,nan,nan,nan
5.000000e+00,0.000000e+00,5.000000e+00,7.383200e+01,nan,4.533785e+00,4.130278e+00,nan,nan,nan
6.000000e+00,1.000000e+00,7.000000e+00,7.560900e+01,nan,4.538762e+00,4.131043e+00,nan,nan,nan
7.000000e+00,0.000000e+00,9.000000e+00,7.732200e+01,nan,4.543670e+00,4.181442e+00,nan,nan,nan
8.000000e+00,1.000000e+00,1.100000e+01,7.907100e+01,nan,4.548816e+00,4.176880e+00,nan,nan,nan
9.000000e+00,0.000000e+00,1.300000e+01,8.085800e+01,nan,4.554122e+00,4.188285e+00,nan,nan,nan
1.000000e+01,1.000000e+00,1.500000e+01,8.264500e+01,nan,4.559353e+00,4.158898e+00,nan,nan,nan
1.100000e+01,0.000000e+00,1.700000e+01,8.448600e+01,nan,4.564601e+00,4.196143e+00,nan,nan,nan
1.200000e+01,1.000000e+00,1.900000e+01,8.630500e+01,nan,4.569633e+00,4.160195e+00,nan,nan,nan
1.300000e+01,3.000000e+00,1.800000e+01,8.754200e+01,nan,4.572991e+00,4.164804e+00,nan,nan,nan
1.400000e+01,5.000000e+00,1.900000e+01,8.884400e+01,nan,4.576524e+00,4.176146e+00,nan,nan,nan
1.500000e+01,7.000000e+00,1.800000e+01,9.018400e+01,nan,4.580240e+00,4.168569e+00,nan,nan,nan
1.600000e+01,9.000000e+00,1.900000e+01,9.152400e+01,nan,4.584119e+00,4.182770e+00,nan,nan,nan
1.700000e+01,1.100000e+01,1.800000e+01,9.286400e+01,nan,4.588165e+00,4.185629e+00,nan,nan,nan
1.800000e+01,1.300000e+01,1.900000e+01,9.421300e+01,nan,4.592397e+00,4.172834e+00,nan,nan,nan
1.900000e+01,1.500000e+01,1.800000e+01,9.561100e+01,nan,4.596891e+00,4.189769e+00,nan,nan,nan
2.000000e+01,1.700000e+01,1.900000e+01,9.700900e+01,nan,4.601438e+00,4.162054e+00,nan,nan,nan
2.100000e+01,1.900000e+01,1.800000e+01,9.840800e+01,nan,4.605994e+00,4.182598e+00,nan,nan,nan
2.200000e+01,1.800000e+01,1.600000e+01,9.980600e+01,nan,4.610517e+00,4.192050e+00,nan,nan,nan
2.300000e+01,1.900000e+01,1.400000e+01,1.012040e+02,nan,4.614973e+00,4.234840e+00,nan,nan,nan
2.400000e+01,1.800000e+01,1.200000e+01,1.025540e+02,nan,4.619193e+00,4.225342e+00,nan,nan,nan
2.500000e+01,1.900000e+01,1.000000e+01,1.038410e+02,nan,4.623137e+00,4.239621e+00,nan,nan,nan
2.600000e+01,1.800000e+01,8.000000e+00,1.052250e+02,nan,4.627279e+00,4.238433e+00,nan,nan,nan
2.700000e+01,1.900000e+01,6.000000e+00,1.065980e+02,nan,4.631276e+00,nan,nan,nan,nan
2.800000e+01,1.800000e+01,4.000000e+00,1.079380e+02,nan,4.635082e+00,4.188863e+00,nan,nan,nan
2.900000e+01,1.900000e+01,2.000000e+00,1.093940e+02,nan,4.639097e+00,4.214937e+00,nan,nan,nan
3.000000e+01,1.800000e+01,0.000000e+00,1.108560e+02,nan,4.643036e+00,4.235902e+00,nan,nan,nan
3.100000e+01,1.600000e+01,1.000000e+00,1.123040e+02,nan,4.646856e+00,4.238855e+00,nan,nan,nan
3.200000e+01,1.400000e+01,0.000000e+00,1.137020e+02,nan,4.650496e+00,4.244729e+00,nan,nan,nan
3.300000e+01,1.200000e+01,1.000000e+00,1.151000e+02,nan,4.654120e+00,4.252041e+00,nan,nan,nan
3.400000e+01,1.000000e+01,0.000000e+00,1.164590e+02,nan,4.657679e+00,nan,nan,nan,nan
3.500000e+01,8.000000e+00,1.000000e+00,1.177450e+02,nan,4.661139e+00,4.268491e+00,nan,nan,nan
3.600000e+01,6.000000e+00,0.000000e+00,1.189920e+02,nan,4.664634e+00,4.260602e+00,nan,nan,nan
3.700000e+01,4.000000e+00,1.000000e+00,1.202200e+02,nan,4.668271e+00,4.274241e+00,nan,nan,nan
3.800000e+01,3.000000e+00,3.000000e+00,1.214120e+02,nan,4.671934e+00,4.255509e+00,nan,nan,nan
3.900000e+01,2.000000e+00,1.000000e+00,1.226260e+02,nan,4.675756e+00,4.279662e+00,nan,nan,nan
4.000000e+01,4.000000e+00,0.000000e+00,1.238630e+02,nan,4.679685e+00,4.274834e+00,nan,nan,nan
4.100000e+01,5.000000e+00,2.000000e+00,1.251000e+02,nan,4.683600e+00,4.280068e+00,nan,nan,nan
4.200000e+01,3.000000e+00,1.000000e+00,1.263500e+02,nan,4.687498e+00,4.289754e+00,nan,nan,nan
4.300000e+01,1.000000e+00,0.000000e+00,1.276370e+02,nan,4.691426e+00,4.285114e+00,nan,nan,nan
4.400000e+01,0.000000e+00,2.000000e+00,1.289610e+02,nan,4.695377e+00,4.293941e+00,nan,nan,nan
4.500000e+01,1.000000e+00,4.000000e+00,1.303150e+02,nan,4.699301e+00,4.280427e+00,nan,nan,nan
4.600000e+01,0.000000e+00,6.000000e+00,1.317130e+02,nan,4.703284e+00,4.277131e+00,nan,nan,nan
4.700000e+01,2.000000e+00,5.000000e+00,1.331110e+02,nan,4.707241e+00,4.280786e+00,nan,nan,nan
4.800000e+01,0.000000e+00,4.000000e+00,1.345330e+02,nan,4.711318e+00,4.292191e+00,nan,nan,nan
4.900000e+01,1.000000e+00,6.000000e+00,1.359950e+02,nan,4.715615e+00,4.287723e+00,nan,nan,nan
5.000000e+01,0.000000e+00,8.000000e+00,1.375260e+02,nan,4.720213e+00,4.316672e+00,nan,nan,nan
5.100000e+01,1.000000e+00,1.000000e+01,1.390570e+02,nan,4.724787e+00,4.352869e+00,nan,nan,nan
5.200000e+01,0.000000e+00,1.200000e+01,1.405620e+02,nan,4.729178e+00,4.349714e+00,nan,nan,nan
5.300000e+01,1.000000e+00,1.400000e+01,1.420230e+02,nan,4.733350e+00,4.322733e+00,nan,nan,nan
5.400000e+01,0.000000e+00,1.600000e+01,1.434210e+02,nan,4.737270e+00,4.331966e+00,nan,nan,nan
5.500000e+01,1.000000e+00,1.800000e+01,1.447540e+02,nan,4.740943e+00,4.331060e+00,nan,nan,nan
5.600000e+01,3.000000e+00,1.900000e+01,1.460400e+02,nan,4.744365e+00,4.325249e+00,nan,nan,nan
5.700000e+01,2.000000e+00,1.700000e+01,1.473270e+02,nan,4.747580e+00,4.363415e+00,nan,nan,nan
5.800000e+01,0.000000e+00,1.800000e+01,1.485890e+02,nan,4.751528e+00,4.352260e+00,nan,nan,nan
5.900000e+01,2.000000e+00,1.900000e+01,1.498260e+02,nan,4.756248e+00,4.332872e+00,nan,nan,nan
6.000000e+01,1.000000e+00,1.700000e+01,1.511060e+02,nan,4.760883e+00,4.380240e+00,nan,nan,nan
6.100000e+01,0.000000e+00,1.900000e+01,1.524090e+02,nan,4.765484e+00,4.339543e+00,nan,nan,nan
6.200000e+01,2.000000e+00,1.800000e+01,1.537490e+02,nan,4.770161e+00,4.350917e+00,nan,nan,nan
6.300000e+01,4.000000e+00,1.900000e+01,1.550890e+02,nan,4.774833e+00,nan,nan,nan,nan
6.400000e+01,5.000000e+00,1.700000e+01,1.564470e+02,nan,4.779573e+00,4.373804e+00,nan,nan,nan
6.500000e+01,6.000000e+00,1.900000e+01,1.578460e+02,nan,4.784421e+00,4.369414e+00,nan,nan,nan
6.600000e+01,4.000000e+00,1.800000e+01,1.592440e+02,nan,4.789198e+00,4.357962e+00,nan,nan,nan
6.700000e+01,3.000000e+00,1.600000e+01,1.605910e+02,nan,4.793757e+00,nan,nan,nan,nan
6.800000e+01,2.000000e+00,1.400000e+01,1.618770e+02,nan,4.798135e+00,4.371414e+00,nan,nan,nan
6.900000e+01,0.000000e+00,1.500000e+01,1.632120e+02,nan,4.802780e+00,4.382271e+00,nan,nan,nan
7.000000e+01,2.000000e+00,1.600000e+01,1.645760e+02,nan,4.807638e+00,4.402237e+00,nan,nan,nan
7.100000e+01,4.000000e+00,1.700000e+01,1.659750e+02,nan,4.812678e+00,4.404534e+00,nan,nan,nan
7.200000e+01,6.000000e+00,1.800000e+01,1.673730e+02,nan,4.817708e+00,4.380162e+00,nan,nan,nan
7.300000e+01,8.000000e+00,1.900000e+01,1.688450e+02,nan,4.822933e+00,4.396816e+00,nan,nan,nan
7.400000e+01,9.000000e+00,1.700000e+01,1.703950e+02,nan,4.828306e+00,4.391004e+00,nan,nan,nan
7.500000e+01,1.000000e+01,1.900000e+01,1.720020e+02,nan,4.833739e+00,nan,nan,nan,nan
7.600000e+01,8.000000e+00,1.800000e+01,1.730390e+02,nan,4.837181e+00,nan,nan,nan,nan
7.700000e+01,7.000000e+00,1.600000e+01,1.740790e+02,nan,4.840614e+00,4.438169e+00,nan,nan,nan
7.800000e+01,5.000000e+00,1.500000e+01,1.751510e+02,nan,4.844181e+00,4.435029e+00,nan,nan,nan
7.900000e+01,6.000000e+00,1.700000e+01,1.762390e+02,nan,4.847883e+00,4.422297e+00,nan,nan,nan
8.000000e+01,7.000000e+00,1.900000e+01,1.773880e+02,nan,4.851933e+00,4.426546e+00,nan,nan,nan
8.100000e+01,5.000000e+00,1.800000e+01,1.785370e+02,nan,4.856144e+00,4.413501e+00,nan,nan,nan
8.200000e+01,4.000000e+00,1.600000e+01,1.796850e+02,nan,4.860499e+00,4.458823e+00,nan,nan,nan
8.300000e+01,3.000000e+00,1.400000e+01,1.808050e+02,nan,4.864853e+00,4.424265e+00,nan,nan,nan
8.400000e+01,2.000000e+00,1.200000e+01,1.819140e+02,nan,4.869235e+00,4.474648e+00,nan,nan,nan
8.500000e+01,0.000000e+00,1.100000e+01,1.830990e+02,nan,4.873956e+00,4.475414e+00,nan,nan,nan
8.600000e+01,1.000000e+00,1.300000e+01,1.842800e+02,nan,4.878663e+00,4.478320e+00,nan,nan,nan
8.700000e+01,2.000000e+00,1.500000e+01,1.854280e+02,nan,4.883219e+00,4.448886e+00,nan,nan,nan
8.800000e+01,3.000000e+00,1.700000e+01,1.865570e+02,nan,4.887652e+00,4.476523e+00,nan,nan,nan
8.900000e+01,1.000000e+00,1.600000e+01,1.876660e+02,nan,4.891949e+00,4.471164e+00,nan,nan,nan
9.000000e+01,0.000000e+00,1.400000e+01,1.887750e+02,nan,4.896179e+00,4.467571e+00,nan,nan,nan
9.100000e+01,1.000000e+00,1.200000e+01,1.898840e+02,nan,4.900336e+00,4.502254e+00,nan,nan,nan
9.200000e+01,0.000000e+00,1.000000e+01,1.909930e+02,nan,4.904415e+00,4.513611e+00,nan,nan,nan
9.300000e+01,1.000000e+00,8.000000e+00,1.921020e+02,nan,4.908403e+00,4.484850e+00,nan,nan,nan
9.400000e+01,2.000000e+00,1.000000e+01,1.932110e+02,nan,4.912307e+00,4.513564e+00,nan,nan,nan
9.500000e+01,3.000000e+00,1.200000e+01,1.943440e+02,nan,4.916205e+00,4.517642e+00,nan,nan,nan
9.600000e+01,4.000000e+00,1.400000e+01,1.955350e+02,nan,4.920219e+00,4.469071e+00,nan,nan,nan
9.700000e+01,2.000000e+00,1.300000e+01,1.967260e+02,nan,4.924155e+00,4.516986e+00,nan,nan,nan
9.800000e+01,3.000000e+00,1.500000e+01,1.979170e+02,nan,4.928026e+00,4.497348e+00,nan,nan,nan
