D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID199_112dBm_.dat
Power at KID:112dBm
resonance Frequency in GHz :6.625514
Q=23411.710249, Qc=25240.938309, Qi=323050.770367  S21min=-22.796753


Temperature in K:0.099968
GHz	dB	Rad
6.624617000	0.820054889	0.108689505
6.624618000	0.903469384	0.114463754
6.624619000	0.945424795	0.119439080
6.624620000	0.915147007	0.111988862
6.624621000	0.914009690	0.109904480
6.624622000	0.842088401	0.112226699
6.624623000	0.856268287	0.114486149
6.624624000	0.860320330	0.106380935
6.624625000	0.817855716	0.118365518
6.624626000	0.871900380	0.111792969
6.624627000	0.935576439	0.110715238
6.624628000	0.895840347	0.114304056
6.624629000	0.891757965	0.113803565
6.624630000	0.892262757	0.112747904
6.624631000	0.844931006	0.113775069
6.624632000	0.872390628	0.111886821
6.624633000	0.894950628	0.116608522
6.624634000	0.938900828	0.105341054
6.624635000	0.856149971	0.113807809
6.624636000	0.876025736	0.109029232
6.624637000	0.951768637	0.108379654
6.624638000	0.891707063	0.110738449
6.624639000	0.918034792	0.108030356
6.624640000	0.834674299	0.107084933
6.624641000	0.821959019	0.105678135
6.624642000	0.866559803	0.102181172
6.624643000	0.838103950	0.109331227
6.624644000	0.836251259	0.102428854
6.624645000	0.878876984	0.112024223
6.624646000	0.889648855	0.110945743
6.624647000	0.839690268	0.110850443
6.624648000	0.908889592	0.105606962
6.624649000	0.838555038	0.106868235
6.624650000	0.851532221	0.104095494
6.624651000	0.837928116	0.106348361
6.624652000	0.914855421	0.107318143
6.624653000	0.860504448	0.110982778
6.624654000	0.883231640	0.108243916
6.624655000	0.861154556	0.103886802
6.624656000	0.805706084	0.105619071
6.624657000	0.886625767	0.109279486
6.624658000	0.859189570	0.101815936
6.624659000	0.820858717	0.106525553
6.624660000	0.924738586	0.103311584
6.624661000	0.824392974	0.106761967
6.624662000	0.873455584	0.102137870
6.624663000	0.840075195	0.114202423
6.624664000	0.875373006	0.101319797
6.624665000	0.882457614	0.105855444
6.624666000	0.847047865	0.103903954
6.624667000	0.824077129	0.105485123
6.624668000	0.889153659	0.103269730
6.624669000	0.848428249	0.107288823
6.624670000	0.875595093	0.115003943
6.624671000	0.805962324	0.103311218
6.624672000	0.853797376	0.110535650
6.624673000	0.929590106	0.102789429
6.624674000	0.856458008	0.099033215
6.624675000	0.893029809	0.102852363
6.624676000	0.859393477	0.103649397
6.624677000	0.882904112	0.098368049
6.624678000	0.810328543	0.104509232
6.624679000	0.889228344	0.102773201
6.624680000	0.846954167	0.105437510
6.624681000	0.787465930	0.097600726
6.624682000	0.830564141	0.101249265
6.624683000	0.881220222	0.106221462
6.624684000	0.887770832	0.095952046
6.624685000	0.853516638	0.098988158
6.624686000	0.850032687	0.103679982
6.624687000	0.850705266	0.106746521
6.624688000	0.854332983	0.096093285
6.624689000	0.827541232	0.101803852
6.624690000	0.870087802	0.102768232
6.624691000	0.822434425	0.102584740
6.624692000	0.801005960	0.098116431
6.624693000	0.850972772	0.106401375
6.624694000	0.851629674	0.096785857
6.624695000	0.838443100	0.101222251
6.624696000	0.855864406	0.103064326
6.624697000	0.869376898	0.101081869
6.624698000	0.790232003	0.102753360
6.624699000	0.757713914	0.100421064
6.624700000	0.846048713	0.097364429
6.624701000	0.883840740	0.096214900
6.624702000	0.861122787	0.099503721
6.624703000	0.866178691	0.106781316
6.624704000	0.866314352	0.099922878
6.624705000	0.820849776	0.096280048
6.624706000	0.877377689	0.098102316
