idx, row, col, L_finger, L_coupler, f0_design, f0_meas, f0_design_nibble, L_finger_nibble, f0_meas_nibble
0.000000e+00,0.000000e+00,0.000000e+00,7.274810e+02,9.239718e+01,4.100000e+00,nan,nan,nan,nan
1.000000e+00,1.000000e+00,1.100000e+01,7.255510e+02,9.236036e+01,4.103523e+00,nan,nan,nan,nan
2.000000e+00,2.000000e+00,2.200000e+01,7.236190e+02,9.232539e+01,4.107045e+00,nan,nan,nan,nan
3.000000e+00,3.000000e+00,1.000000e+00,7.218050e+02,9.218925e+01,4.110568e+00,nan,nan,nan,nan
4.000000e+00,4.000000e+00,1.200000e+01,7.201670e+02,9.208418e+01,4.114090e+00,nan,nan,nan,nan
5.000000e+00,5.000000e+00,2.300000e+01,7.186640e+02,9.204554e+01,4.117613e+00,nan,nan,nan,nan
6.000000e+00,6.000000e+00,2.000000e+00,7.172660e+02,9.200628e+01,4.121135e+00,nan,nan,nan,nan
7.000000e+00,7.000000e+00,1.300000e+01,7.158910e+02,9.196776e+01,4.124658e+00,nan,nan,nan,nan
8.000000e+00,8.000000e+00,2.400000e+01,7.145180e+02,9.188695e+01,4.128180e+00,nan,nan,nan,nan
9.000000e+00,9.000000e+00,3.000000e+00,7.131350e+02,9.172690e+01,4.131703e+00,nan,nan,nan,nan
1.000000e+01,1.000000e+01,1.400000e+01,7.116610e+02,9.168009e+01,4.135225e+00,nan,nan,nan,nan
1.100000e+01,1.100000e+01,2.500000e+01,7.101230e+02,9.164741e+01,4.138748e+00,nan,nan,nan,nan
1.200000e+01,1.200000e+01,4.000000e+00,7.085120e+02,9.161777e+01,4.142270e+00,nan,nan,nan,nan
1.300000e+01,1.300000e+01,1.500000e+01,7.068230e+02,9.159268e+01,4.145793e+00,4.179320e+00,nan,nan,nan
1.400000e+01,1.400000e+01,2.600000e+01,7.050660e+02,9.157427e+01,4.149315e+00,nan,nan,nan,nan
1.500000e+01,1.500000e+01,5.000000e+00,7.033680e+02,9.141849e+01,4.152838e+00,nan,nan,nan,nan
1.600000e+01,1.600000e+01,1.600000e+01,7.017120e+02,9.136805e+01,4.156360e+00,4.194659e+00,nan,nan,nan
1.700000e+01,1.700000e+01,2.700000e+01,7.000520e+02,9.135267e+01,4.159883e+00,nan,nan,nan,nan
1.800000e+01,1.800000e+01,6.000000e+00,6.984130e+02,9.133859e+01,4.163405e+00,nan,nan,nan,nan
1.900000e+01,1.900000e+01,1.700000e+01,6.968410e+02,9.130860e+01,4.166928e+00,nan,nan,nan,nan
2.000000e+01,2.000000e+01,2.800000e+01,6.953620e+02,9.117456e+01,4.170450e+00,nan,nan,nan,nan
2.100000e+01,2.100000e+01,7.000000e+00,6.938910e+02,9.113681e+01,4.173973e+00,nan,nan,nan,nan
2.200000e+01,2.200000e+01,1.800000e+01,6.924080e+02,9.113263e+01,4.177495e+00,nan,nan,nan,nan
2.300000e+01,2.300000e+01,2.900000e+01,6.908990e+02,9.113238e+01,4.181018e+00,nan,nan,nan,nan
2.400000e+01,2.400000e+01,8.000000e+00,6.893580e+02,9.113539e+01,4.184540e+00,nan,nan,nan,nan
2.500000e+01,2.500000e+01,1.900000e+01,6.877410e+02,9.114958e+01,4.188063e+00,nan,nan,nan,nan
2.600000e+01,2.600000e+01,3.000000e+01,6.860370e+02,9.109752e+01,4.191585e+00,nan,nan,nan,nan
2.700000e+01,2.700000e+01,9.000000e+00,6.841800e+02,9.105885e+01,4.195108e+00,nan,nan,nan,nan
2.800000e+01,2.800000e+01,2.000000e+01,6.820410e+02,9.114000e+01,4.198630e+00,nan,nan,nan,nan
2.900000e+01,2.900000e+01,3.100000e+01,6.794830e+02,9.126476e+01,4.202153e+00,nan,nan,nan,nan
3.000000e+01,3.000000e+01,1.000000e+01,6.761350e+02,9.143528e+01,4.205675e+00,nan,nan,nan,nan
3.100000e+01,3.100000e+01,2.100000e+01,6.727470e+02,9.156046e+01,4.209198e+00,4.257140e+00,nan,nan,nan
3.200000e+01,0.000000e+00,1.000000e+00,6.715930e+02,9.132141e+01,4.212720e+00,nan,nan,nan,nan
3.300000e+01,1.000000e+00,1.200000e+01,6.703580e+02,9.112684e+01,4.216243e+00,4.256671e+00,nan,nan,nan
3.400000e+01,2.000000e+00,2.300000e+01,6.690380e+02,9.097916e+01,4.219765e+00,nan,nan,nan,nan
3.500000e+01,3.000000e+00,2.000000e+00,6.676810e+02,9.083751e+01,4.223288e+00,nan,nan,nan,nan
3.600000e+01,4.000000e+00,1.300000e+01,6.663280e+02,9.064544e+01,4.226810e+00,4.269886e+00,nan,nan,nan
3.700000e+01,5.000000e+00,2.400000e+01,6.649790e+02,9.040423e+01,4.230333e+00,nan,nan,nan,nan
3.800000e+01,6.000000e+00,3.000000e+00,6.636610e+02,9.027633e+01,4.233855e+00,nan,nan,nan,nan
3.900000e+01,7.000000e+00,1.400000e+01,6.623220e+02,9.015222e+01,4.237378e+00,nan,nan,nan,nan
4.000000e+01,8.000000e+00,2.500000e+01,6.609610e+02,9.003213e+01,4.240900e+00,nan,nan,nan,nan
4.100000e+01,9.000000e+00,4.000000e+00,6.595480e+02,8.992031e+01,4.244423e+00,nan,nan,nan,nan
4.200000e+01,1.000000e+01,1.500000e+01,6.581740e+02,8.974491e+01,4.247945e+00,nan,nan,nan,nan
4.300000e+01,1.100000e+01,2.600000e+01,6.568380e+02,8.954354e+01,4.251468e+00,nan,nan,nan,nan
4.400000e+01,1.200000e+01,5.000000e+00,6.555930e+02,8.943819e+01,4.254990e+00,nan,nan,nan,nan
4.500000e+01,1.300000e+01,1.600000e+01,6.543640e+02,8.933517e+01,4.258513e+00,nan,nan,nan,nan
4.600000e+01,1.400000e+01,2.700000e+01,6.531490e+02,8.923427e+01,4.262035e+00,nan,nan,nan,nan
4.700000e+01,1.500000e+01,6.000000e+00,6.519050e+02,8.913848e+01,4.265558e+00,nan,nan,nan,nan
4.800000e+01,1.600000e+01,1.700000e+01,6.506380e+02,8.901584e+01,4.269080e+00,nan,nan,nan,nan
4.900000e+01,1.700000e+01,2.800000e+01,6.493180e+02,8.882039e+01,4.272603e+00,nan,nan,nan,nan
5.000000e+01,1.800000e+01,7.000000e+00,6.479290e+02,8.870895e+01,4.276125e+00,nan,nan,nan,nan
5.100000e+01,1.900000e+01,1.800000e+01,6.464910e+02,8.862601e+01,4.279648e+00,4.326962e+00,nan,nan,nan
5.200000e+01,2.000000e+01,2.900000e+01,6.450020e+02,8.854663e+01,4.283170e+00,nan,nan,nan,nan
5.300000e+01,2.100000e+01,8.000000e+00,6.435080e+02,8.847035e+01,4.286693e+00,nan,nan,nan,nan
5.400000e+01,2.200000e+01,1.900000e+01,6.421110e+02,8.832272e+01,4.290215e+00,4.342114e+00,nan,nan,nan
5.500000e+01,2.300000e+01,3.000000e+01,6.407920e+02,8.815670e+01,4.293738e+00,nan,nan,nan,nan
5.600000e+01,2.400000e+01,9.000000e+00,6.396020e+02,8.807759e+01,4.297260e+00,nan,nan,nan,nan
5.700000e+01,2.500000e+01,2.000000e+01,6.384460e+02,8.799898e+01,4.300783e+00,nan,nan,nan,nan
5.800000e+01,2.600000e+01,3.100000e+01,6.373240e+02,8.792090e+01,4.304305e+00,nan,nan,nan,nan
5.900000e+01,2.700000e+01,1.000000e+01,6.362070e+02,8.778057e+01,4.307828e+00,nan,nan,nan,nan
6.000000e+01,2.800000e+01,2.100000e+01,6.350930e+02,8.761494e+01,4.311350e+00,nan,nan,nan,nan
6.100000e+01,2.900000e+01,0.000000e+00,6.339500e+02,8.753229e+01,4.314873e+00,nan,nan,nan,nan
6.200000e+01,3.000000e+01,1.100000e+01,6.327960e+02,8.745758e+01,4.318395e+00,nan,nan,nan,nan
6.300000e+01,3.100000e+01,2.200000e+01,6.315980e+02,8.738473e+01,4.321918e+00,nan,nan,nan,nan
6.400000e+01,0.000000e+00,2.000000e+00,6.303640e+02,8.731351e+01,4.325440e+00,nan,nan,nan,nan
6.500000e+01,1.000000e+00,1.300000e+01,6.290930e+02,8.724391e+01,4.328963e+00,nan,nan,nan,nan
6.600000e+01,2.000000e+00,2.400000e+01,6.277400e+02,8.707797e+01,4.332485e+00,nan,nan,nan,nan
6.700000e+01,3.000000e+00,3.000000e+00,6.263400e+02,8.695399e+01,4.336008e+00,nan,nan,nan,nan
6.800000e+01,4.000000e+00,1.400000e+01,6.248880e+02,8.688949e+01,4.339530e+00,nan,nan,nan,nan
6.900000e+01,5.000000e+00,2.500000e+01,6.233700e+02,8.682941e+01,4.343053e+00,nan,nan,nan,nan
7.000000e+01,6.000000e+00,4.000000e+00,6.218220e+02,8.677110e+01,4.346575e+00,nan,nan,nan,nan
7.100000e+01,7.000000e+00,1.500000e+01,6.202890e+02,8.665805e+01,4.350098e+00,4.398565e+00,nan,nan,nan
7.200000e+01,8.000000e+00,2.600000e+01,6.188090e+02,8.649969e+01,4.353620e+00,nan,nan,nan,nan
7.300000e+01,9.000000e+00,5.000000e+00,6.174900e+02,8.643926e+01,4.357143e+00,nan,nan,nan,nan
7.400000e+01,1.000000e+01,1.600000e+01,6.162810e+02,8.637776e+01,4.360665e+00,4.413248e+00,nan,nan,nan
7.500000e+01,1.100000e+01,2.700000e+01,6.151360e+02,8.631562e+01,4.364188e+00,nan,nan,nan,nan
7.600000e+01,1.200000e+01,6.000000e+00,6.140530e+02,8.618022e+01,4.367710e+00,nan,nan,nan,nan
7.700000e+01,1.300000e+01,1.700000e+01,6.129790e+02,8.603664e+01,4.371233e+00,nan,nan,nan,nan
7.800000e+01,1.400000e+01,2.800000e+01,6.119100e+02,8.597461e+01,4.374755e+00,nan,nan,nan,nan
