# row col f0[GHz]
0 0 4.198157
8 16 4.085634
16 0 4.129662
24 16 4.081838
1 10 4.118132
9 26 4.103211
17 10 4.077557
25 26 4.112570
2 20 4.139240
10 4 4.106195
18 20 4.085009
26 4 4.120429
3 30 4.171347
11 14 4.087244
19 30 4.156691
27 14 4.107945
4 8 4.130615
12 24 4.110945
20 8 4.092602
28 24 4.143989
5 18 4.122178
13 2 4.155754
21 18 4.089259
29 2 4.179830
6 28 4.171722
14 12 4.097665
22 28 4.176581
30 12 4.167081
7 6 4.161254
15 22 4.121663
23 6 4.151457
31 22 4.237326
0 1 4.283854
8 17 4.143208
16 1 4.203704
24 17 4.140036
1 11 4.216031
9 27 4.187174
17 11 4.133459
25 27 4.209359
2 21 4.234279
10 5 4.193361
18 21 4.147286
26 5 4.204813
3 31 4.388252
11 15 4.161738
19 31 4.363676
27 15 4.197329
4 9 4.216906
12 25 4.210703
20 9 4.175690
28 25 4.244841
5 19 4.222687
13 3 4.238092
21 19 4.190158
29 3 4.265652
6 29 4.276683
14 13 4.184002
22 29 4.273011
30 13 4.259965
7 7 4.251638
15 23 4.219468
23 7 4.241482
31 23 4.341553
0 2 4.376347
8 18 4.225655
16 2 4.290853
24 18 4.228108
1 12 4.299712
9 28 4.296931
17 12 4.255668
25 28 4.314383
2 22 4.322929
10 6 4.267090
18 22 4.244794
26 6 4.292791
3 0 4.370160
11 16 4.253872
19 0 4.347787
27 16 4.287869
4 10 4.306680
12 26 4.303227
20 10 4.261449
28 26 4.343209
5 20 4.307633
13 4 4.321148
21 20 4.283994
29 4 4.366332
6 30 4.395221
14 14 4.277183
22 30 4.391252
30 14 4.354661
7 8 4.336241
15 24 4.325741
23 8 4.316914
31 24 4.442530
0 3 4.477074
8 19 4.326179
16 3 4.376581
24 19 4.330382
1 13 4.405110
9 29 4.412501
17 13 4.310493
25 29 4.427874
2 23 4.434468
10 7 4.370801
18 23 4.351021
26 7 4.382347
3 1 4.467184
11 17 4.347568
19 1 4.443576
27 17 4.394924
4 11 4.401845
12 27 4.421969
20 11 4.357552
28 27 4.454310
5 21 4.413016
13 5 4.417328
21 21 4.397924
29 5 nan
6 31 4.602580
14 15 4.374003
22 31 4.596424
30 15 4.461044
7 9 4.428296
15 25 4.447654
23 9 4.422000
31 25 4.536648
0 4 4.569192
8 20 4.438780
16 4 4.467637
24 20 4.435811
1 14 4.503838
9 30 4.513540
17 14 4.406829
25 30 4.520743
2 24 4.530304
10 8 4.472434
18 24 4.475387
26 8 4.485089
3 2 4.543741
11 18 4.455013
19 2 4.498791
27 18 4.486729
4 12 4.496447
12 28 4.522555
20 12 4.457482
28 28 4.566255
5 22 4.524992
13 6 4.492776
21 22 4.489870
29 6 4.547522
6 0 4.584785
14 16 4.477074
22 0 4.578613
30 16 7.906053
7 10 4.514415
15 26 4.544334
23 10 4.504916
31 26 4.631094
0 5 4.677965
8 21 4.533304
16 5 4.552990
24 21 4.538288
1 15 4.622860
9 31 4.747538
17 15 4.507962
25 31 4.726337
2 25 4.617845
10 9 4.558724
18 25 4.571192
26 9 4.576910
3 3 4.648702
11 19 4.561036
19 3 4.596049
27 19 4.586894
4 13 4.610767
12 29 4.633734
20 13 4.552568
28 29 4.677371
5 23 4.636250
13 7 4.589956
21 23 4.599752
29 7 4.648702
6 1 4.682324
14 17 4.572301
22 1 4.668966
30 17 4.663138
7 11 4.623063
15 27 4.667638
23 11 4.612829
31 27 4.766615
0 6 4.780723
8 22 4.642390
16 6 4.624860
24 22 4.638796
1 16 4.710400
9 0 4.727758
17 16 4.605408
25 0 4.738554
2 26 4.730680
10 10 4.649374
18 26 4.687261
26 10 4.676262
3 4 4.734961
11 20 4.659373
19 4 4.699323
27 20 4.692667
4 14 4.706166
12 30 4.757131
20 14 4.653873
28 30 4.795300
5 24 4.750460
13 8 4.688027
21 24 4.715697
29 8 4.746444
6 2 4.798566
14 18 4.693964
22 2 4.770568
30 18 4.767505
7 12 4.718509
15 28 4.786238
23 12 4.701448
31 28 4.858717
0 7 4.887965
8 23 4.774286
16 7 4.739570
24 23 4.782254
1 17 4.823829
9 1 4.834797
17 17 4.711666
25 1 4.844500
2 27 4.850187
10 11 4.752725
18 27 4.811799
26 11 4.791160
3 5 4.853936
11 21 4.787348
19 5 4.807299
27 21 4.814736
4 15 4.829626
12 31 4.982021
20 15 4.757959
28 31 5.025111
5 25 4.869013
13 9 4.801784
21 25 4.843531
29 9 4.861155
6 3 8.019029
14 19 4.798753
22 3 4.866389
30 19 4.877325
7 13 4.840859
15 29 4.901027
23 13 4.819080
31 29 4.979255
0 8 4.975084
8 24 4.889168
16 8 4.823407
24 24 4.881013
1 18 4.933977
9 2 4.915401
17 18 4.835344
25 2 4.927087
2 28 4.967350
10 12 4.859889
18 28 4.923213
26 12 4.891543
3 6 4.948601
11 22 4.894777
19 6 4.901324
27 22 4.918510
4 16 4.940493
12 0 5.000769
20 16 4.869123
28 0 5.005191
5 26 4.966522
13 10 4.898902
21 26 4.948914
29 10 4.952742
6 4 4.984708
14 20 4.906370
22 4 4.950054
30 20 4.994348
7 14 4.929212
15 30 5.027080
23 14 4.910354
31 30 5.111730
0 9 5.115276
8 25 4.981599
16 9 4.935102
24 25 5.007706
1 19 5.069889
9 3 5.029876
17 19 4.941727
25 3 5.037423
2 29 5.085310
10 13 4.959054
18 29 5.064155
26 13 4.996441
3 7 5.056812
11 23 5.019315
19 7 5.000769
27 23 5.044672
4 17 5.065374
12 1 5.094387
20 17 4.987567
28 1 5.119635
5 27 5.085388
13 11 5.011768
21 27 5.090169
29 11 5.074295
6 5 5.096481
14 21 5.030251
22 5 5.070545
30 21 5.112167
7 15 5.047969
15 31 5.261047
23 15 5.036673
31 31 5.300356
0 10 5.220800
8 26 5.132338
16 10 5.045047
24 26 5.136634
