Resonance Frequency (GHz),Powers (dB)
4.076875000,-80.000000000
4.081070313,-80.000000000
4.084218750,-80.000000000
4.084812500,-80.000000000
4.086593750,-80.000000000
4.088500000,-80.000000000
4.091804687,-80.000000000
4.096968750,-80.000000000
4.102281250,-80.000000000
4.105390625,-80.000000000
4.107093750,-80.000000000
4.110062500,-80.000000000
4.111671875,-80.000000000
4.117140625,-80.000000000
4.119601563,-80.000000000
4.120859375,-80.000000000
4.121304688,-80.000000000
4.128765625,-80.000000000
4.129835938,-80.000000000
4.132734375,-80.000000000
4.138226562,-80.000000000
4.139273437,-80.000000000
4.142398438,-80.000000000
4.143046875,-80.000000000
4.146453125,-80.000000000
4.150664063,-80.000000000
4.154789062,-80.000000000
4.155609375,-80.000000000
4.160304688,-80.000000000
4.160960938,-80.000000000
4.166140625,-80.000000000
4.170421875,-80.000000000
4.170617188,-80.000000000
4.175023438,-80.000000000
4.175585938,-80.000000000
4.178835938,-80.000000000
4.183257812,-80.000000000
4.186500000,-80.000000000
4.189367188,-80.000000000
4.192554688,-80.000000000
4.196406250,-80.000000000
4.196796875,-80.000000000
4.202812500,-80.000000000
4.203929688,-80.000000000
4.208359375,-80.000000000
4.209742187,-80.000000000
4.214976563,-80.000000000
4.215882813,-80.000000000
4.218484375,-80.000000000
4.221750000,-80.000000000
4.224789063,-80.000000000
4.227468750,-80.000000000
4.232921875,-80.000000000
4.236179687,-80.000000000
4.237335938,-80.000000000
4.240648437,-80.000000000
4.243835938,-80.000000000
4.243960938,-80.000000000
4.250742188,-80.000000000
4.253054688,-80.000000000
4.254882812,-80.000000000
4.259273438,-80.000000000
4.260757813,-80.000000000
4.264617187,-80.000000000
4.266210938,-80.000000000
4.271937500,-80.000000000
4.275492188,-80.000000000
4.276351563,-80.000000000
4.282109375,-80.000000000
4.283156250,-80.000000000
4.286976563,-80.000000000
4.289914063,-80.000000000
4.291890625,-80.000000000
4.295835938,-80.000000000
4.298632813,-80.000000000
4.302226563,-80.000000000
4.305742187,-80.000000000
4.306960938,-80.000000000
4.309625000,-80.000000000
4.313273438,-80.000000000
