# idx, f0, Ql, Qi, Qc, phi, f0, Ql, Qi, Qc, phi
0.000000000000000000e+00,4.156187979824849776e+00,4.676045298113338504e+04,4.331666885991538293e+05,5.241910897953781387e+04,-9.736995876038759268e-02,4.127922946463900011e+00,3.791741830543843389e+04,4.024901972034702194e+05,4.186102214578911662e+04,5.189277729658638150e-02
1.000000000000000000e+00,4.202044020471033647e+00,6.109618026017081866e+04,4.397826968782490003e+05,7.095326013647367654e+04,1.971482085515879890e-01,4.173801465658208976e+00,6.413293983747935272e+04,4.481692866722352337e+05,7.484295206964838144e+04,-2.480307801089610686e-01
2.000000000000000000e+00,4.207819241379101349e+00,6.976393711818686279e+04,5.127983760527609847e+05,8.074955470117814548e+04,5.666736342969175277e-02,4.179544531198974511e+00,5.968486652399733430e+04,5.148882398313691374e+05,6.751056268724166148e+04,-1.278619718826752016e-01
3.000000000000000000e+00,4.219736784311258759e+00,4.814030342163804016e+04,5.849280263830341864e+05,5.245763169573129562e+04,-2.804572446401700780e-01,4.191041327106233894e+00,3.633677208676805458e+04,4.624344983240099391e+05,3.943550020565638988e+04,3.110533956362122703e-03
4.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,4.238023188478580394e+00,5.784002834836367401e+04,4.415119383278302848e+05,6.655963693143287674e+04,2.491069728978243247e-01,4.209546818873297624e+00,6.212062602114828769e+04,4.737699564033825300e+05,7.149504228383513691e+04,1.525734270885417965e-01
6.000000000000000000e+00,4.247085133160141801e+00,4.283245283285753976e+04,5.510915736741363071e+05,4.644206639501511381e+04,-7.080122386239313947e-02,4.218449243511892988e+00,4.684785475130990380e+04,4.128169868804177968e+05,5.284486734642016381e+04,3.935479523145528347e-02
7.000000000000000000e+00,4.252931299056930570e+00,4.145896423955849605e+04,4.027176624117534375e+05,4.621690010245555459e+04,1.345721014115242586e-01,4.224411891649024753e+00,4.729493787050633546e+04,4.132592122438274673e+05,5.340704034828337899e+04,2.834041849002858493e-01
8.000000000000000000e+00,4.264847995346872089e+00,4.367623883700933220e+04,4.363887674279240891e+05,4.853377125593204983e+04,1.963436005556225272e-01,4.235961898527598635e+00,5.112993133782208315e+04,5.065316830276944675e+05,5.687051065906877920e+04,-2.761905315125725777e-02
9.000000000000000000e+00,4.276422466843392556e+00,4.853177761510882556e+04,7.048793832230628468e+05,5.212032340754865436e+04,-1.971927650334773796e-01,4.247728941013671822e+00,4.487494888477274071e+04,3.467351703140428290e+05,5.154611949438821466e+04,-1.717002380872794942e-01
1.000000000000000000e+01,nan,nan,nan,nan,nan,4.252258880296921006e+00,5.675957506111063412e+04,4.171358931126029347e+05,6.569925616595373140e+04,1.780602212069117007e-01
1.100000000000000000e+01,4.303264993144440886e+00,3.861068263716196816e+04,3.653927275100963889e+05,4.317269832038995810e+04,-4.591003972828847091e-02,nan,nan,nan,nan,nan
1.200000000000000000e+01,4.308498378034886223e+00,5.087940493923076428e+04,5.958813621322308900e+05,5.562932154559165792e+04,-1.228508525976128446e-01,4.279508880880198873e+00,4.970801943099734490e+04,4.452054032263666741e+05,5.595556314934175316e+04,-2.257189002075913054e-01
1.300000000000000000e+01,4.317178781478595795e+00,5.086136288224626333e+04,6.766314729323852807e+05,5.499527435020095436e+04,-1.844711642122212614e-01,4.288464945920339666e+00,5.131736194418261584e+04,5.077484914829398622e+05,5.708706402294195141e+04,-1.411853338242852751e-01
1.400000000000000000e+01,4.334357083586469983e+00,5.380742611920383933e+04,5.709792412406196818e+05,5.940564129822295945e+04,-2.819877444827844082e-01,4.305463886413712693e+00,4.784444916009787266e+04,4.220475919342621928e+05,5.396169151798656094e+04,-1.437607830251809993e-01
1.500000000000000000e+01,4.339092446236309186e+00,5.095853848392514192e+04,4.700976642359292018e+05,5.715402939582378167e+04,1.489828058221853713e-01,4.310182980118279161e+00,4.367558621697450872e+04,4.967362867582252366e+05,4.788596427253638831e+04,-3.125724661993944942e-02
1.600000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.700000000000000000e+01,4.312659101438138798e+00,4.919547184115899290e+04,5.989541667591017904e+05,5.359775682918543316e+04,-1.899817208598628404e-01,4.283824197975652837e+00,4.728700801658473938e+04,4.197909933103054645e+05,5.328979245766234089e+04,-1.659889428376117027e-01
1.800000000000000000e+01,4.370801165239336150e+00,5.292656618346538016e+04,5.827162190626504598e+05,5.821398807392563322e+04,1.341924189888805685e-01,4.341555644927762359e+00,5.009208226377588289e+04,5.103258494848466362e+05,5.554413051454145898e+04,-1.270963924957159430e-01
1.900000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+01,4.354375409375436767e+00,4.827453739443243103e+04,3.839525708628692664e+05,5.521699632320705132e+04,3.077236347241383840e-01,4.324895903790332952e+00,4.999152489231656364e+04,4.581593833634337643e+05,5.611437976486883417e+04,5.661806670543431674e-02
2.100000000000000000e+01,4.400399598323729400e+00,3.617640918163842434e+04,4.331637456016963115e+05,3.947306995948385156e+04,2.549031408296392742e-01,nan,nan,nan,nan,nan
2.200000000000000000e+01,4.408111574535988453e+00,5.502551572353766096e+04,4.094738668679100228e+05,6.356782483815395244e+04,7.804257875526426913e-02,4.378531522690601641e+00,5.419637565793346585e+04,4.129473558300552540e+05,6.238380174676703609e+04,1.253291168179765935e-01
2.300000000000000000e+01,4.416231142598831205e+00,7.313783022332660039e+04,6.407964066016321303e+05,8.256099836059668451e+04,-1.731171292442689469e-01,4.386569430963865202e+00,5.880669321418344043e+04,3.863452583043707418e+05,6.936492218436553958e+04,-3.330744798039224075e-01
2.400000000000000000e+01,4.420992665426616064e+00,3.049076588528420689e+04,5.759013303093157010e+05,3.219532913526999619e+04,9.589941561283467364e-02,nan,nan,nan,nan,nan
2.500000000000000000e+01,4.431714658009336283e+00,4.034593236826216889e+04,6.273122062823857414e+05,4.311916539885796374e+04,8.422120370712514459e-02,4.401949447777393054e+00,4.353277336945757997e+04,4.008323722995924763e+05,4.883673218416399322e+04,2.670572609780740292e-01
2.600000000000000000e+01,nan,nan,nan,nan,nan,4.410535938586249038e+00,5.587502097936625796e+04,5.215059322588004870e+05,6.257994089300798078e+04,-8.835375605448857195e-02
2.700000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.800000000000000000e+01,4.463993749154906432e+00,3.834368394580186578e+04,5.410584233931713970e+05,4.126828110432513495e+04,-9.610245074881677840e-02,4.434071848996972598e+00,3.114432574204804405e+04,4.844490468213733402e+05,3.328409835155735345e+04,1.178951015398033327e-02
2.900000000000000000e+01,4.469846003763493947e+00,5.604288748031473369e+04,6.004731376919683535e+05,6.181186382927805971e+04,-2.220305624413435042e-01,4.439854188746068075e+00,4.828224193781651411e+04,4.206112829344440834e+05,5.454330306885775644e+04,-1.482139130097522572e-01
3.000000000000000000e+01,nan,nan,nan,nan,nan,4.446270547310771981e+00,4.297098440356014908e+04,7.346779877875252860e+05,4.564047523071318574e+04,7.446384282002349586e-02
3.100000000000000000e+01,4.498491883038697736e+00,3.550096164909752406e+04,5.332485013536220649e+05,3.803300485871107230e+04,1.009280257787550095e-01,4.468354856809959585e+00,4.282720490705560951e+04,6.026615090824217768e+05,4.610347695125028258e+04,-7.057606145755059186e-03
3.200000000000000000e+01,4.495819972846081036e+00,6.195896636965355719e+04,4.386116013600440347e+05,7.215115183967901976e+04,-2.410344822406899346e-01,4.465564299652076130e+00,5.299954905852596858e+04,4.073329002958176425e+05,6.092697725741992326e+04,-9.238783472700087818e-02
3.300000000000000000e+01,4.503803520355180723e+00,6.496653958099357260e+04,7.227971263519780478e+05,7.138255511752588791e+04,-1.837340207583249563e-01,4.473820700693341479e+00,5.870608119641841040e+04,4.196294702510996722e+05,6.825493304131319746e+04,-1.710144384339558621e-01
3.400000000000000000e+01,4.466282742782280657e+00,5.748096349562161777e+04,5.077528730324919452e+05,6.481888774628916872e+04,-2.529856871914171190e-01,4.436295949260202320e+00,4.576641076881856134e+04,3.991547868366110488e+05,5.169349976355793478e+04,-1.350362231090612708e-01
3.500000000000000000e+01,4.529737111290907059e+00,2.750609359699190463e+04,4.850887594940033159e+05,2.915953294545001336e+04,-1.704686439762800043e-01,nan,nan,nan,nan,nan
3.600000000000000000e+01,4.544918005493071789e+00,6.468144311416626442e+04,6.472246683116606437e+05,7.186320903705166711e+04,1.553758516103436738e-01,4.514341522362408377e+00,5.960922521195424633e+04,3.588971122780942824e+05,7.148160589932982111e+04,-8.781738746113650074e-02
3.700000000000000000e+01,4.559025036793768137e+00,4.875798434247934347e+04,5.729848115414071362e+05,5.329293164734005404e+04,1.867837889627064762e-01,4.528436794364739448e+00,4.194365402091402939e+04,5.281812665101895109e+05,4.556178241624654765e+04,1.223743883089995904e-01
3.800000000000000000e+01,4.565886469324913932e+00,4.666931159581271640e+04,9.198609710187005112e+05,4.916363757948801504e+04,-3.184026853081758923e-01,4.535279726065288841e+00,3.420017602267949405e+04,4.744512415724564344e+05,3.685696014317133813e+04,-2.221876020836731080e-01
3.900000000000000000e+01,4.540562273675873506e+00,5.179638407700943935e+04,5.878864598089966457e+05,5.680088896322626533e+04,-1.938548881495593956e-01,4.509909680059847936e+00,4.645800371934343275e+04,3.829151764271724387e+05,5.287292450173014367e+04,-7.620418704511706942e-02
4.000000000000000000e+01,4.546574798919448490e+00,3.742731328106005094e+04,6.729891774846026674e+05,3.963135329405553784e+04,-3.532736663420772416e-01,4.515772444768912486e+00,2.912832154232926405e+04,6.014576160319214687e+05,3.061078823421856578e+04,4.793730133772160923e-02
4.100000000000000000e+01,4.596994394722610622e+00,4.310603385171839182e+04,6.729703591557977488e+05,4.605608210779075307e+04,-1.457581787360305026e-01,4.566156899389377521e+00,4.391736042883585469e+04,4.659148411852293648e+05,4.848784872554129834e+04,-2.933242118795286180e-01
4.200000000000000000e+01,nan,nan,nan,nan,nan,4.572087128260322153e+00,5.473751696782425279e+04,6.229884697274405044e+05,6.001017995105784939e+04,3.006468699861639116e-02
4.300000000000000000e+01,nan,nan,nan,nan,nan,4.581097321370600106e+00,4.827658641640578571e+04,4.134320341244072188e+05,5.465915255542829254e+04,3.691168060570692577e-01
4.400000000000000000e+01,4.618635726961052512e+00,4.410782749782378960e+04,6.861690238929154584e+05,4.713791319292725530e+04,-3.044533583259586562e-01,4.587574413244615457e+00,4.256255336457308294e+04,5.059887085554054938e+05,4.647163559616648854e+04,-3.025099225398036884e-01
4.500000000000000000e+01,4.629392011544642749e+00,4.385574026299241814e+04,8.911866728058560984e+05,4.612560423248435836e+04,-2.940450144964938950e-01,4.598352297291213198e+00,4.718900083680448006e+04,5.637081185125076445e+05,5.150017098283192900e+04,-6.726817657447951501e-03
4.600000000000000000e+01,4.637671338959442835e+00,3.579684634214581456e+04,6.075568495909146732e+05,3.803802131199704309e+04,-7.292888745101418213e-02,nan,nan,nan,nan,nan
4.700000000000000000e+01,4.646451778699204560e+00,3.836695746528612653e+04,6.840024925459170481e+05,4.064691782242359477e+04,-3.421476603686363638e-01,4.615451500327059087e+00,2.920748361849618232e+04,4.176153744317947421e+05,3.140382699745905484e+04,9.189974723094605780e-02
4.800000000000000000e+01,4.659012491974684700e+00,4.827714209490704525e+04,6.365089108121253084e+05,5.223932600403943070e+04,-1.504585481249307855e-01,4.627828034894659659e+00,4.453686097137959587e+04,4.220902638954978320e+05,4.979050713062941941e+04,-2.297546849436357119e-01
4.900000000000000000e+01,4.663355896360264374e+00,4.502078042500580341e+04,3.481544177726191701e+05,5.170717355448983290e+04,3.247790942308137474e-01,4.632076342054914697e+00,6.107646733931623749e+04,4.041395574988335138e+05,7.195007913158462907e+04,2.316499219013412048e-01
5.000000000000000000e+01,4.670571587032075200e+00,5.603293124303049262e+04,7.508012974505733000e+05,6.055197605910993298e+04,-1.907317829355739125e-01,4.639243182651862973e+00,4.479877562420233880e+04,4.243587030218930449e+05,5.008629454430380429e+04,-2.672861403261720392e-01
5.100000000000000000e+01,4.622001191622172378e+00,4.538686630578331824e+04,4.882795352730459417e+05,5.003803300461914478e+04,-3.078040107634466005e-01,4.590931083430462856e+00,4.153986627552303253e+04,3.648172124013917637e+05,4.687757555477604183e+04,-2.953532818910962199e-01
5.200000000000000000e+01,4.691393863579275347e+00,4.066105406658521679e+04,3.711770422518425621e+05,4.566329715589399711e+04,1.007136210623186257e-01,4.659845485021102185e+00,4.237748051124314952e+04,3.412720732792789931e+05,4.838578878423525020e+04,2.599769470235072100e-01
5.300000000000000000e+01,4.698228721866872348e+00,5.249029681640485069e+04,4.809896066792103811e+05,5.892025176955619099e+04,-6.741641372761995876e-02,4.666909027512954111e+00,4.960684200192514982e+04,4.098894498617148492e+05,5.643714332571718114e+04,2.530042982537724083e-01
5.400000000000000000e+01,nan,nan,nan,nan,nan,4.691268268035130973e+00,4.125192614828636579e+04,4.241004968101342674e+05,4.569682039982249989e+04,5.346388906144364066e-03
5.500000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.600000000000000000e+01,4.737664414048845529e+00,5.167611084581576870e+04,4.579054412507766392e+05,5.824978791016499599e+04,2.677050422296907081e-02,4.705626707356323379e+00,4.190501185744702525e+04,3.827914261032533832e+05,4.705637590537454525e+04,-4.842080420120824930e-02
5.700000000000000000e+01,4.753859487196256950e+00,3.779686014721984975e+04,6.076837854681649478e+05,4.030367785703824484e+04,-5.644094486765095092e-02,4.722059271070295772e+00,3.961182312319611810e+04,5.807776561617590487e+05,4.251129761945753125e+04,2.435534616554500126e-02
