Frequency,dB,Rad
2.458218,55.88130188,2.239346433
2.458218,55.752456665,2.241461516
2.458218,55.660324097,2.250620659
2.458218,55.833995819,2.228821354
2.458218,55.734466553,2.226898419
2.458218,55.815814972,2.23573279
2.458218,55.690799713,2.246359602
2.458218,55.696224213,2.239107015
2.458218,55.802761078,2.235455555
2.458218,55.821140289,2.226442086
2.458218,55.830497742,2.232551644
2.458218,55.83826828,2.244674353
2.458218,55.755290985,2.241596538
2.458218,55.87266922,2.231745239
2.458218,55.78981781,2.247461884
2.458218,55.865104675,2.239078519
2.458218,55.837394714,2.247144435
2.458218,55.796466827,2.241047128
2.458218,55.811317444,2.241938222
2.458218,55.783679962,2.236985807
2.458218,55.689548492,2.233574165
2.458218,55.77771759,2.241611185
2.458218,55.917705536,2.246752418
2.458218,55.768569946,2.236549581
2.458218,55.74879837,2.237391939
2.458218,55.745773315,2.22682172
2.458218,55.834949493,2.239454291
2.458218,55.68561554,2.241240473
2.458218,55.864963531,2.232733005
2.458218,55.676612854,2.231083443
2.458218,55.836433411,2.221471163
2.458218,55.853256226,2.240494788
2.458218,55.942340851,2.241437814
2.458218,55.654350281,2.244608839
2.458218,55.81167984,2.227138503
2.458218,55.745903015,2.238312061
2.458218,55.793491364,2.239796241
2.458218,55.835842133,2.233181748
2.458218,55.822536469,2.238909408
2.458218,55.707435608,2.23314473
2.458218,55.768554687,2.235181249
2.458218,55.841266632,2.236419885
2.458218,55.828361511,2.23168878
2.458218,55.788040161,2.230082494
2.458218,55.799438477,2.23325352
2.458218,55.720928192,2.241637284
2.458218,55.861515045,2.228089651
2.458218,55.738994598,2.241549933
2.458218,55.653507233,2.236182598
2.458218,55.835910797,2.234873388
2.458218,55.772006989,2.240652447
2.458218,55.659873962,2.240142985
2.458218,55.865329742,2.238681442
2.458218,55.813762665,2.225421163
2.458218,55.804172516,2.240365625
2.458218,55.741447449,2.243493241
2.458218,55.713523865,2.249234218
2.458218,55.686260223,2.240562433
2.458218,55.717224121,2.244754781
2.458218,55.741565704,2.230842161
2.458218,55.832202911,2.238853748
2.458218,55.772785187,2.241602663
2.458218,55.864261627,2.228371413
2.458218,55.824558258,2.232858973
2.458218,55.818561554,2.238255869
2.458218,55.788970947,2.254241227
2.458218,55.808849335,2.243728398
2.458218,55.759731293,2.236412961
2.458218,55.852344513,2.239297165
2.458218,55.868412018,2.229730158
2.458218,55.724925995,2.243961958
2.458218,55.832702637,2.238395951
2.458218,55.735980988,2.242187227
2.458218,55.855144501,2.244556109
2.458218,55.922000885,2.233526228
2.458218,55.710605621,2.23372743
2.458218,55.79000473,2.242816266
2.458218,55.833621979,2.246618727
2.458218,55.799762726,2.228795788
2.458218,55.817596436,2.245565447
2.458218,55.769386292,2.236242253
2.458218,55.753990173,2.231435513
2.458218,55.848762512,2.240783209
2.458218,55.821144104,2.230811135
2.458218,55.752380371,2.242191222
2.458218,55.70595932,2.234750882
2.458218,55.745864868,2.242121447
2.458218,55.738613129,2.239582656
2.458218,55.844093323,2.225168962
2.458218,55.817726135,2.248069085
2.458218,55.882461548,2.235214272
2.458218,55.845001221,2.231491839
2.458218,55.870288849,2.248609706
2.458218,55.811378479,2.246137494
2.458218,55.808258057,2.229160508
2.458218,55.845844269,2.22623902
2.458218,55.760971069,2.235425461
2.458218,55.857833862,2.241954467
2.458218,55.780204773,2.237905929
2.458218,55.829418182,2.237772505
2.458218,55.849094391,2.240446851
2.458218,55.776306152,2.234786036
2.458218,55.791168213,2.236189522
2.458218,55.813739777,2.234627045
2.458218,55.724956512,2.226906275
2.458218,55.830291748,2.238430572
2.458218,55.83265686,2.239396767
2.458218,55.790645599,2.232506237
2.458218,55.823917389,2.225874966
2.458218,55.794013977,2.241153388
2.458218,55.676113129,2.232521817
2.458218,55.660118103,2.243432788
2.458218,55.812034607,2.237954665
2.458218,55.842014313,2.233263773
2.458218,55.743637085,2.230524313
2.458218,55.846164703,2.248567895
2.458218,55.830970764,2.246586237
2.458218,55.733215332,2.236608437
2.458218,55.828601837,2.247062942
2.458218,55.767177582,2.231244298
2.458218,55.795669556,2.237706725
2.458218,55.711776733,2.240133397
2.458218,55.747169495,2.230706473
2.458218,55.796081543,2.23440041
2.458218,55.770706177,2.240774686
2.458218,55.780261993,2.231369733
2.458218,55.810878754,2.24088361
2.458218,55.784236908,2.237140271
2.458218,55.797966003,2.243838121
2.458218,55.723712921,2.233623833
2.458218,55.761585236,2.236289657
2.458218,55.819778442,2.232321946
2.458218,55.737323761,2.234882443
2.458218,55.808158875,2.23428909
2.458218,55.823204041,2.245097263
2.458218,55.839107513,2.23232674
2.458218,55.735607147,2.223005809
2.458218,55.781917572,2.234441689
2.458218,55.880638123,2.235934125
2.458218,55.754463196,2.243539847
2.458218,55.893535614,2.235194831
2.458218,55.797897339,2.229945208
2.458218,55.828128815,2.241159513
2.458218,55.894561768,2.230811668
2.458218,55.659545898,2.238248412
2.458218,55.859397888,2.239016467
2.458218,55.85900116,2.242666063
2.458218,55.749652863,2.232399311
2.458218,55.794139862,2.229083143
2.458218,55.828166962,2.238872124
2.458218,55.891681671,2.231352156
2.458218,55.822032928,2.2355224
2.458218,55.812438965,2.240330205
2.458218,55.741916656,2.233288807
2.458218,55.750587463,2.239307551
2.458218,55.689155579,2.234953549
2.458218,55.862030029,2.232000103
2.458218,55.656661987,2.237665712
2.458218,55.803565979,2.239745641
2.458218,55.827777863,2.225724764
2.458218,55.846870422,2.232021542
2.458218,55.778015137,2.234958343
2.458218,55.780101776,2.229560115
2.458218,55.739013672,2.244658374
2.458218,55.778278351,2.233309713
2.458218,55.920093536,2.235416406
2.458218,55.736804962,2.240294785
2.458218,55.750774384,2.24609009
2.458218,55.751083374,2.240066818
2.458218,55.790554047,2.237740281
2.458218,55.82667923,2.246938839
2.458218,55.751018524,2.24540832
2.458218,55.731246948,2.24685202
2.458218,55.825107574,2.237954399
2.458218,55.81161499,2.23748222
2.458218,55.720729828,2.231208345
2.458218,55.778903961,2.237040402
2.458218,55.76922226,2.249538084
2.458218,55.842277527,2.237376759
2.458218,55.771121979,2.244173679
2.458218,55.869697571,2.248536203
2.458218,55.86743927,2.230102601
2.458218,55.788433075,2.242962207
2.458218,55.801567078,2.238916599
2.458218,55.825004578,2.234452608
2.458218,55.700996399,2.2385363
2.458218,55.762485504,2.231482252
2.458218,55.811374664,2.240763767
2.458218,55.711250305,2.235090702
2.458218,55.837398529,2.238130966
2.458218,55.841011047,2.233127153
2.458218,55.812931061,2.245670109
2.458218,55.715099335,2.239285979
2.458218,55.725830078,2.247770544
2.458218,55.853809357,2.239907029
2.458218,55.819858551,2.251627601
2.458218,55.850421906,2.241739816
2.458218,55.761516571,2.224747384
2.458218,55.680713654,2.244165956
2.458218,55.864994049,2.235234779
2.458218,55.8152771,2.234311727
2.458218,55.798309326,2.238245482
2.458218,55.904930115,2.244818697
2.458218,55.750534058,2.238146413
2.458218,55.667095184,2.23235963
2.458218,55.799888611,2.233676696
2.458218,55.860916138,2.226704807
2.458218,55.79404068,2.231782523
2.458218,55.902908325,2.231290637
2.458218,55.734077454,2.234335696
2.458218,55.881568909,2.245734824
2.458218,55.874786377,2.237204186
2.458218,55.759143829,2.242290025
2.458218,55.743713379,2.2403848
2.458218,55.742916107,2.224611296
2.458218,55.847312927,2.225602125
2.458218,55.787151337,2.237234546
2.458218,55.850162506,2.236140254
2.458218,55.734874725,2.234780443
2.458218,55.840911865,2.239284381
2.458218,55.829265594,2.241140338
2.458218,55.791912079,2.240963238
2.458218,55.704544067,2.247060013
2.458218,55.773509979,2.238335764
2.458218,55.770477295,2.233318102
2.458218,55.947593689,2.246929784
2.458218,55.822120667,2.23713521
2.458218,55.837341309,2.238947492
2.458218,55.746677399,2.240105168
2.458218,55.838596344,2.23507712
2.458218,55.81067276,2.243274862
2.458218,55.777423859,2.241304123
2.458218,55.819473267,2.233080148
2.458218,55.847309113,2.238048408
2.458218,55.731895447,2.233152453
2.458218,55.833648682,2.228865163
2.458218,55.841915131,2.226189352
2.458218,55.821781158,2.238942165
2.458218,55.817173004,2.234594821
2.458218,55.809638977,2.238191953
2.458218,55.894180298,2.239341107
2.458218,55.762443542,2.243581925
2.458218,55.725254059,2.241624501
2.458218,55.794616699,2.235911488
2.458218,55.848163605,2.23908784
2.458218,55.869033813,2.229742275
2.458218,55.788387299,2.222607134
2.458218,55.812519073,2.244762504
2.458218,55.831542969,2.22365096
2.458218,55.880905151,2.240954184
2.458218,55.73632431,2.235459816
2.458218,55.793952942,2.2351429
2.458218,55.839881897,2.24164847
2.458218,55.768230438,2.230657071
2.458218,55.863552094,2.245587019
2.458218,55.824615479,2.241687085
2.458218,55.710403442,2.250253409
2.458218,55.844512939,2.241948342
2.458218,55.645931244,2.237752798
2.458218,55.805744171,2.23082778
2.458218,55.860157013,2.22732266
2.458218,55.843166351,2.235281384
2.458218,55.79889679,2.232121543
2.458218,55.768093109,2.227215734
2.458218,55.886295319,2.241948874
2.458218,55.823040009,2.223625261
2.458218,55.778442383,2.244214958
2.458218,55.863357544,2.241819178
2.458218,55.840232849,2.248777219
2.458218,55.857261658,2.233169764
2.458218,55.832359314,2.225346328
2.458218,55.82503891,2.229730158
2.458218,55.858371735,2.234616659
2.458218,55.789779663,2.227039566
2.458218,55.709300995,2.250555412
2.458218,55.823493958,2.240550182
2.458218,55.756641388,2.237789549
2.458218,55.828811646,2.240350179
2.458218,55.84400177,2.231127519
2.458218,55.776634216,2.234184162
2.458218,55.817512512,2.237772239
2.458218,55.741321564,2.239909425
2.458218,55.787403107,2.238857477
2.458218,55.820991516,2.231470401
2.458218,55.735744476,2.234659003
2.458218,55.841274261,2.232365622
2.458218,55.86322403,2.239598901
2.458218,55.792942047,2.239269201
2.458218,55.753059387,2.245163576
2.458218,55.782226562,2.243638384
2.458218,55.794063568,2.233652328
2.458218,55.802108765,2.238852683
2.458218,55.792972565,2.230958674
2.458218,55.759162903,2.245592877
2.458218,55.796337128,2.229668639
2.458218,55.85144043,2.241510784
2.458218,55.861064911,2.241857528
2.458218,55.831928253,2.233552993
2.458218,55.753547668,2.237369302
2.458218,55.774581909,2.248486402
2.458218,55.795734406,2.237605525
2.458218,55.856060028,2.239189573
2.458218,55.810558319,2.24197737
2.458218,55.831916809,2.234655009
2.458218,55.787479401,2.235895509
2.458218,55.863647461,2.23943991
2.458218,55.852172852,2.235248095
2.458218,55.688991547,2.235531721
2.458218,55.789920807,2.249884562
2.458218,55.761535645,2.248930085
2.458218,55.772293091,2.23622361
2.458218,55.799201965,2.226948087
2.458218,55.848575592,2.223139101
2.458218,55.791824341,2.229031344
2.458218,55.87537384,2.229941613
2.458218,55.834758759,2.231923671
2.458218,55.821643829,2.234965799
2.458218,55.765907288,2.238572785
2.458218,55.780139923,2.234350876
2.458218,55.778404236,2.234472049
2.458218,55.82660675,2.228572615
2.458218,55.854343414,2.238396217
2.458218,55.855739594,2.231901699
2.458218,55.950687408,2.231875201
2.458218,55.777648926,2.244505242
2.458218,55.868312836,2.238543224
2.458218,55.812957764,2.235964485
2.458218,55.756000519,2.24779691
2.458218,55.713378906,2.236146112
2.458218,55.812854767,2.241107049
2.458218,55.842079163,2.233768309
2.458218,55.750774384,2.236776483
2.458218,55.727222443,2.239507554
2.458218,55.817783356,2.232866296
2.458218,55.818313599,2.234312792
2.458218,55.864738464,2.245168103
2.458218,55.830608368,2.237340274
2.458218,55.765357971,2.235801499
2.458218,55.698890686,2.231913151
2.458218,55.76782608,2.231172526
2.458218,55.679252625,2.255673209
2.458218,55.835956573,2.235383383
2.458218,55.74451828,2.235476327
2.458218,55.762802124,2.253922979
2.458218,55.786384583,2.233521301
2.458218,55.76776886,2.244943332
2.458218,55.843067169,2.234836902
2.458218,55.850543976,2.239247896
2.458218,55.729190826,2.229973305
2.458218,55.811695099,2.236786869
2.458218,55.716030121,2.234744224
2.458218,55.934734344,2.23891074
2.458218,55.737442017,2.238517657
2.458218,55.666202545,2.239491043
