Frequency,dB,Rad,Mag,Fit
2.458732075,55.860404968,1.782860116,0.9968707102917087,0.9947223089449564
2.458732195,55.859321594,1.793009956,0.996746380314636,0.9947376641985026
2.458732315,55.762519836,1.819125845,0.9856995976851068,0.994753041263587
2.458732435,55.984329224,1.786073619,1.011195314759249,0.9947684402109317
2.458732555,55.914180756,1.764898559,1.0030616475151612,0.9947838611113464
2.458732674,56.017074585,1.796320132,1.0150146643832656,0.9947991752537082
2.458732794,55.927970886,1.784009403,1.0046554205602962,0.9948146400894117
2.458732914,55.682918549,1.795728777,0.9767074827470743,0.9948301270917942
2.458733034,55.575416565,1.76870941,0.9646936409217162,0.9948456363326997
2.458733154,55.951358795,1.763384286,1.0073642337106965,0.9948611678842316
2.458733274,55.831783295,1.788523728,0.9935912362380175,0.9948767218189282
2.458733394,55.881530762,1.778074682,0.9992982470870946,0.9948922982093595
2.458733514,55.806804657,1.808988389,0.9907379990023459,0.9949078971285884
2.458733633,56.150600433,1.738824881,1.0307387636590988,0.9949233883768237
2.458733753,55.661323547,1.779809598,0.9742821926504039,0.9949390323841645
2.458733873,55.931690216,1.775526037,1.005085709838412,0.9949546991399982
2.458733993,55.689674377,1.792451757,0.977467454934464,0.9949703887184438
2.458734113,55.750953674,1.781155959,0.9843879100600478,0.9949861011937117
2.458734233,55.86258316,1.806578362,0.9971207305177687,0.9950018366402786
2.458734353,55.948490143,1.761489313,1.0070315907231149,0.9950175951330638
2.458734473,55.836425781,1.786371228,0.994122438744206,0.9950333767470194
2.458734592,55.686275482,1.814765052,0.9770850347750692,0.9950490497547807
2.458734712,55.850372314,1.771321571,0.99571993753591,0.9950648776432873
2.458734832,56.015342712,1.770920898,1.0148123015481494,0.9950807288792096
2.458734952,55.707019806,1.782039596,0.9794213748201475,0.995096603538632
2.458735072,55.845775604,1.81297381,0.9951931262271627,0.9951125016980857
2.458735192,56.110889435,1.767690617,1.0260370875586005,0.9951284234341375
2.458735312,56.023719788,1.80021314,1.0157915058559863,0.9951443688238606
2.458735432,55.795269012,1.778195989,0.98942308292131,0.9951603379444236
2.458735551,56.100711823,1.765702434,1.0248355420424193,0.9951761975003208
