D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID145_108dBm_.dat
Power at KID:108dBm
resonance Frequency in GHz :6.365566
Q=34784.513660, Qc=40353.125929, Qi=252067.084619  S21min=-17.202604


Temperature in K:0.099927
GHz	dB	Rad
6.364664000	0.845479965	0.031675422
6.364665000	0.862886071	0.035570865
6.364666000	0.849754333	0.037757528
6.364667000	0.807234347	0.036530864
6.364668000	0.846544981	0.032541869
6.364669000	0.823894501	0.033567188
6.364670000	0.820290327	0.038501228
6.364671000	0.821034968	0.036596818
6.364672000	0.800896943	0.034790829
6.364673000	0.823854148	0.031200212
6.364674000	0.826699138	0.032603745
6.364675000	0.803022921	0.036529902
6.364676000	0.813637197	0.038019113
6.364677000	0.819870174	0.033258933
6.364678000	0.813423157	0.034137410
6.364679000	0.811745703	0.034175993
6.364680000	0.821178019	0.034117047
6.364681000	0.839110494	0.036370067
6.364682000	0.821597576	0.037353214
6.364683000	0.806410789	0.035135346
6.364684000	0.843464375	0.035007248
6.364685000	0.803849757	0.032633535
6.364686000	0.824050844	0.031791714
6.364687000	0.812007487	0.032106542
6.364688000	0.822645783	0.032509763
6.364689000	0.820469916	0.033233564
6.364690000	0.801798999	0.033230398
6.364691000	0.864925623	0.033906543
6.364692000	0.832819045	0.032311522
6.364693000	0.835570991	0.030847834
6.364694000	0.831944108	0.034382716
6.364695000	0.827071786	0.035453602
6.364696000	0.800925195	0.034194920
6.364697000	0.829575181	0.037670747
6.364698000	0.842507064	0.030472083
6.364699000	0.808030546	0.030602657
6.364700000	0.808726013	0.028334886
6.364701000	0.827433050	0.031016420
6.364702000	0.811403930	0.030269200
6.364703000	0.835960984	0.035916410
6.364704000	0.845960319	0.031089716
6.364705000	0.847995579	0.028223278
6.364706000	0.794667661	0.030265675
6.364707000	0.792993009	0.033939373
6.364708000	0.816971242	0.030198876
6.364709000	0.829481781	0.027178926
6.364710000	0.826636016	0.029182332
6.364711000	0.789974868	0.030787222
6.364712000	0.835796416	0.025491343
6.364713000	0.856029689	0.029232787
6.364714000	0.845421135	0.032665219
6.364715000	0.816751003	0.032024947
6.364716000	0.790790319	0.030450030
6.364717000	0.805668950	0.031685454
